address;start_bit;n_bit;type;var_name;Range;unit;Battery
0;15;16;U16;HardwareId;;;
1;15;8;U16;SoftwareId;;;
30002;15;16;U16;RsuGlobal;;;
30003;15;16;U16;ipAddress3;;;
30004;15;16;U16;ipAddress2;;;
30005;15;16;U16;ipAddress1;;;
30006;15;16;U16;ipAddress0;;;
30007;15;16;U16;macAddress5;;;
30008;15;16;U16;macAddress4;;;
30009;15;16;U16;macAddress3;;;
30010;15;16;U16;macAddress2;;;
30011;15;16;U16;macAddress1;;;
30012;15;16;U16;macAddress0;;;
30013;15;16;U16;ipAddress3;;;
30014;15;16;U16;ipAddress2;;;
30015;15;16;U16;ipAddress1;;;
30016;15;16;U16;ipAddress0;;;
30017;15;16;U16;macAddress5;;;
30018;15;16;U16;macAddress4;;;
30019;15;16;U16;macAddress3;;;
30020;15;16;U16;macAddress2;;;
30021;15;16;U16;macAddress1;;;
30022;15;16;U16;macAddress0;;;
30100;15;16;U16;DigitalInputReg;;;
30101;15;8;B;AlarmControl;;;
30102;4;5;U2;ControlMode;;;
30103;3;4;B;SnowEvent;;;
30104;31;32;U32;NcuDatetime;;;
30106;15;16;U16;RsuGlobalCopy;;;
